"","id","block","trial_number","safe_option","p","lumpSum","odds_ratio","frame_choice","response_choice","choice","reaction_time_choice","practice_trial","catch_trial","random_trial","time_elapsed"
"72",2,1,12,-70,0.2,87,1,"loss_frame","j","risky",2460,0,0,0,278370
"73",2,1,13,-34,0.6,86,1,"loss_frame","f","safe",1889,0,0,0,287806
"74",2,1,14,14,0.2,71,1,"gain_frame","j","risky",2542,0,0,0,297926
"75",2,1,15,32,0.4,79,1,"gain_frame","f","safe",1565,0,0,0,307053
"76",2,1,16,-45,0.4,76,1,"loss_frame","j","risky",2944,0,0,0,317557
"77",2,1,17,30,0.95,60,0,"gain_frame","j","risky",2263,0,1,0,327407
"78",2,1,18,55,0.8,68,1,"gain_frame","f","safe",1259,0,0,0,336207
"79",2,1,19,22,0.4,55,1,"gain_frame","f","safe",1872,0,0,1,345660
"80",2,1,20,-26,0.6,66,1,"loss_frame","j","risky",2102,0,0,0,355349
"81",2,1,21,-17,0.8,86,1,"loss_frame","j","risky",2019,0,0,0,364964
"82",2,1,22,29,0.95,58,0,"gain_frame","f","safe",1356,0,1,0,373881
"83",2,1,23,69,0.8,86,1,"gain_frame","f","safe",1470,0,0,0,382918
"84",2,1,24,24,0.4,61,1,"gain_frame","f","safe",2298,0,0,0,392765
"85",2,1,25,33,0.4,82,1,"gain_frame","f","safe",1259,0,0,0,401573
"86",2,1,26,-62,0.2,78,1,"loss_frame","j","risky",1465,0,0,0,410612
"87",2,1,27,51,0.8,64,1,"gain_frame","f","safe",1569,0,0,0,419753
"88",2,1,28,11,0.2,57,1,"gain_frame","f","safe",1989,0,0,0,429300
"89",2,1,29,-31,0.05,62,0,"loss_frame","f","safe",1575,0,1,0,438453
"90",2,1,30,-12,0.8,60,1,"loss_frame","f","safe",2496,0,0,0,448511
"91",2,1,31,-49,0.2,61,1,"loss_frame","f","safe",2171,0,0,0,458243
"92",2,1,32,-31,0.95,61,0,"loss_frame","j","risky",2808,0,1,0,468614
"93",2,1,33,-12,0.8,60,1,"loss_frame","f","safe",1488,0,0,0,477668
"94",2,1,34,38,0.6,64,1,"gain_frame","f","safe",1700,0,0,0,486954
"95",2,1,35,33,0.4,83,1,"gain_frame","f","safe",2043,0,0,0,496562
"96",2,1,36,36,0.6,59,1,"gain_frame","f","safe",3721,0,0,0,507859
"97",2,1,37,-45,0.4,74,1,"loss_frame","f","safe",3023,0,0,0,518451
"98",2,1,38,-28,0.05,56,0,"loss_frame","f","safe",1202,0,1,0,527239
"99",2,1,39,-13,0.8,65,1,"loss_frame","f","safe",1213,0,0,0,536053
"100",2,1,40,28,0.05,57,0,"gain_frame","f","safe",1912,0,1,0,545521
"101",2,1,41,-59,0.2,74,1,"loss_frame","f","safe",1919,0,0,0,555011
"102",2,1,42,46,0.6,77,1,"gain_frame","f","safe",1517,0,0,0,564104
"103",2,1,43,61,0.8,76,1,"gain_frame","f","safe",1199,0,0,0,572864
"104",2,1,44,49,0.6,81,1,"gain_frame","f","safe",1088,0,0,0,581511
"105",2,1,45,47,0.6,79,1,"gain_frame","f","safe",973,0,0,0,590080
"106",2,1,46,-43,0.4,72,1,"loss_frame","f","safe",2425,0,0,0,600073
"107",2,1,47,-31,0.6,78,1,"loss_frame","f","safe",2133,0,0,0,609792
"108",2,1,48,-23,0.6,58,1,"loss_frame","f","safe",1466,0,0,0,618828
"109",2,1,49,-66,0.2,83,1,"loss_frame","f","safe",1624,0,0,0,628008
"110",2,1,50,51,0.8,63,1,"gain_frame","f","safe",1273,0,0,0,636878
"111",2,1,51,13,0.2,67,1,"gain_frame","f","safe",1628,0,0,0,646074
"112",2,1,52,-47,0.2,59,1,"loss_frame","f","safe",2399,0,0,0,656037
"113",2,1,53,-51,0.4,85,1,"loss_frame","f","safe",1677,0,0,0,665284
"114",2,1,54,-16,0.8,82,1,"loss_frame","f","safe",1718,0,0,0,674579
"115",2,1,55,27,0.4,68,1,"gain_frame","f","safe",2468,0,0,0,684629
"116",2,1,56,-30,0.6,74,1,"loss_frame","j","risky",2309,0,0,0,694522
"117",3,0,1,27,0.4,68,1,"gain_frame","f","safe",14109,1,0,0,623658
"118",3,0,2,-44,0.2,55,1,"loss_frame","j","risky",3660,1,0,0,634866
"119",3,1,1,64,0.8,80,1,"gain_frame","j","risky",2010,0,0,0,750989
"120",3,1,2,51,0.6,85,1,"gain_frame","j","risky",1015,0,0,0,759567
"121",3,1,3,14,0.2,69,1,"gain_frame","no_choice","no_choice",-1,0,0,0,771128
"122",3,1,4,49,0.8,61,1,"gain_frame","j","risky",1200,0,0,0,779898
"123",3,1,5,46,0.6,76,1,"gain_frame","j","risky",1363,0,0,0,788807
"124",3,1,6,27,0.4,67,1,"gain_frame","j","risky",2035,0,0,0,798395
"125",3,1,7,54,0.8,67,1,"gain_frame","j","risky",3753,0,0,0,809703
"126",3,1,8,-11,0.8,58,1,"loss_frame","f","safe",3116,0,0,0,820366
"127",3,1,9,57,0.8,71,1,"gain_frame","f","safe",2454,0,0,1,830367
"128",3,1,10,28,0.05,56,0,"gain_frame","f","safe",1959,0,1,0,839880
"129",3,1,11,23,0.4,58,1,"gain_frame","f","safe",2895,0,0,0,850332
"130",3,1,12,-34,0.4,57,1,"loss_frame","f","safe",2270,0,0,0,860160
"131",3,1,13,-17,0.8,86,1,"loss_frame","j","risky",1620,0,0,0,869333
"132",3,1,14,68,0.8,85,1,"gain_frame","f","safe",1000,0,0,0,877889
